file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_3HFM_HLY__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,3HFM,HLY__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.1392335600949124,0.619047619047619,0.4883664015473205,0.9263963460004137,0.6444444444444444
AbDesign_3N85_AHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,3N85,AHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.0607905543680064,0.5,-0.1666666666666666,0.8421052631578947,0.3611111111111111
AbDesign_3NGB_GHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,3NGB,GHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.1471086407836713,0.3226950354609929,0.0365039780944725,0.543415655035686,0.1115114723869853
AbDesign_4I77_HLZ__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,4I77,HLZ__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.6152351930766452,0.7857142857142857,0.3947710169758613,1.0,0.8559523809523808
AbDesign_6NMU_HLS__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,6NMU,HLS__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,-0.1822439363601592,0.3,-0.119047619047619,0.4053856868315714,0.0990569639779254
AbDesign_6RP8_CHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,6RP8,CHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,-0.208153715090396,0.0769230769230769,-0.1153846153846153,0.1239783657854698,0.0743256317968961
AbDesign_6XKR_HLP__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,6XKR,HLP__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.0393234672304439,0.6307692307692307,0.3230769230769231,0.6870506773130352,0.2758188153310105
AbDesign_7JMO_AHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,7JMO,AHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.173241671073506,0.58994708994709,-0.1296296296296296,0.4463880541321159,0.1442240014027939
AbDesign_1YY9_ACD__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,1YY9,ACD__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.073550238650163,0.7456140350877193,-0.1578947368421052,0.1894597959915336,0.35
AbDesign_2YSS_ABC__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,2YSS,ABC__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,-0.1455494158444893,0.8562091503267973,0.0686274509803921,0.2099306755166944,0.3039533995416348
AbDesign_1JRH_HIL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,1JRH,HIL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.2536697138220435,0.7254901960784313,-0.140028008402801,0.1510971279160916,0.3277777777777778
AbDesign_2BDN_AHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,2BDN,AHL__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,-0.0109890109890109,0.5454545454545454,-0.1818181818181818,0.6153846153846154,0.2666666666666666
AbDesign_3BDY_HLV__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32__focus1,AbDesign,3BDY,HLV__ElnaggarLab__ankh-large__d55e7bbb__masked__fp32_,,ankh-large,,1,masked,0.0098314994615533,0.7419354838709677,0.1532258064516129,0.4232031585960829,0.2616341991341991
