file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_5F9W_GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,5F9W,GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.0980157223014168,0.7169811320754718,-0.1132075471698113,0.3629773594256594,0.1856737576377756
AbDesign_6RP8_CHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,6RP8,CHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.1465697757145392,0.2692307692307693,-0.1153846153846153,0.3989753110475728,0.0910409035409035
AbDesign_5GGV_HLY__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,5GGV,HLY__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.1346077101125389,0.4166666666666667,-0.1166666666666666,0.5462164925334316,0.1023571788044821
AbDesign_6MFP_GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,6MFP,GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.1322901849217638,0.2803030303030303,-0.1212121212121212,0.1692859659306337,0.0911004536004536
AbDesign_7JMO_AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,7JMO,AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2452141723955578,0.6455026455026455,-0.1296296296296296,0.4355524122441376,0.1651122986772074
AbDesign_2BDN_AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,2BDN,AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.4505494505494505,0.5,-0.1818181818181818,0.6153846153846154,0.225
AbDesign_3BE1_AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3BE1,AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.1297301213116804,0.5533333333333333,0.1099853362660149,0.3657548014730792,0.2007378070845563
AbDesign_3NGB_GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3NGB,GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.1202113098070515,0.3049645390070922,0.0365039780944725,0.6031931137259825,0.1107352315943897
AbDesign_1DQJ_ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1DQJ,ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.3663636966331833,0.7777777777777778,-0.1980295085953348,0.606409098188902,0.3523809523809524
AbDesign_1VFB_ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1VFB,ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.0723004799544135,0.5569007263922519,0.1736119344464813,0.4733926576627397,0.2378188117352204
AbDesign_2NYY_ACD__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,2NYY,ACD__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2859944563696315,0.6666666666666666,0.4950737714883372,0.6427936440802362,0.392156862745098
AbDesign_3SE8_GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3SE8,GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.1510224193151022,0.608974358974359,-0.1153846153846153,0.3742325015316453,0.1623931623931624
AbDesign_4I77_HLZ__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,4I77,HLZ__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.3703357472888544,0.6190476190476191,-0.0328975847479884,0.4,0.6083333333333333
AbDesign_7BEJ_EHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,7BEJ,EHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.3263305322128852,0.6048387096774194,0.1532258064516129,0.8131510812357794,0.2920914542728635
AbDesign_1BJ1_HLW__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1BJ1,HLW__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.2091177303497023,0.4988479262672811,0.0460829493087557,0.5629448469898641,0.129275916097488
AbDesign_3BDY_HLV__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3BDY,HLV__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.1823870876640708,0.4233870967741935,-0.1290322580645161,0.295970765892515,0.1170154124313716
AbDesign_3N85_AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3N85,AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2978737164032316,0.4375,-0.1666666666666666,0.8421052631578947,0.35
AbDesign_1BVK_ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1BVK,ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2605263157894736,0.5642857142857143,0.1642857142857142,0.8337234360036702,0.3446457326892109
AbDesign_1N8Z_ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1N8Z,ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.1753193014919697,0.3527777777777778,-0.1388888888888889,0.4891317745526341,0.1129256445385477
AbDesign_1YY9_ACD__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1YY9,ACD__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2534654378097926,0.7105263157894738,-0.1578947368421052,0.6246198149485067,0.3055555555555556
AbDesign_2YSS_ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,2YSS,ABC__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.1057185915129646,0.7973856209150327,0.0686274509803921,0.2222911562398098,0.2510805860805861
AbDesign_5GGS_ABZ__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,5GGS,ABZ__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2679928284811747,0.6956521739130435,0.0579710144927536,0.5847608944456462,0.3305422838031533
AbDesign_3HFM_HLY__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3HFM,HLY__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.1567028310332853,0.5714285714285714,0.2815806279191758,0.662744231925133,0.2645021645021644
AbDesign_1JRH_HIL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1JRH,HIL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.1558149280746676,0.8431372549019607,0.3267320196065356,0.4001048321429182,0.4428571428571428
AbDesign_6NMU_HLS__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,6NMU,HLS__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.2105750051471129,0.4619047619047619,-0.119047619047619,0.3496497830744514,0.1196722951844903
AbDesign_6XKR_HLP__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,6XKR,HLP__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.0231861587937738,0.5487179487179488,0.0974358974358974,0.6198437089235885,0.1606917113893858
AbDesign_7KF0_HLV__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,7KF0,HLV__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.1808914177335229,0.5833333333333333,0.1590909090909091,0.7560915695832338,0.1938854489164086
AbDesign_1MHP_AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1MHP,AHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,-0.0887979327154403,0.2741433021806854,-0.1121495327102803,0.5257737024029953,0.0757438022488531
AbDesign_3SE9_GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,3SE9,GHL__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2039001145667362,0.6521739130434783,0.2463768115942029,0.5551677228956478,0.2888888888888889
AbDesign_6NMS_HLS__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,6NMS,HLS__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.0472448979591836,0.5227272727272727,0.3318181818181818,0.5955457261812938,0.1995169082125603
AbDesign_1MLC_ABE__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,AbDesign,1MLC,ABE__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.030746388986073,0.6416666666666667,-0.15,0.4422206212498923,0.239057239057239
ABBind_1DVF_ABCD__ElnaggarLab__ankh-base__60d9b09f__masked__fp32__focus0,ABBind,1DVF,ABCD__ElnaggarLab__ankh-base__60d9b09f__masked__fp32_,,ankh-base,,0,masked,0.2702017939104832,0.7777777777777778,0.1666666666666666,0.6567878360051017,0.4213564213564214
