file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_3SE9_GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3SE9,GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1484522172486081,0.7536231884057971,0.2463768115942029,0.3881417477017433,0.392156862745098
AbDesign_1N8Z_ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1N8Z,ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.1360882295519467,0.4638888888888889,-0.1388888888888889,0.3474875373833456,0.1387037037037037
AbDesign_1MHP_AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1MHP,AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.1343601184166039,0.2406542056074766,-0.1222835681031486,0.6868968879952136,0.0731425709612309
AbDesign_7BEJ_EHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,7BEJ,EHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.4378151260504201,0.7016129032258065,0.4354838709677419,0.7984679643169089,0.2954260651629072
AbDesign_1DQJ_ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1DQJ,ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.045632488904489,0.4074074074074074,0.2222222222222222,0.7278743681183455,0.4385964912280701
AbDesign_1BJ1_HLW__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1BJ1,HLW__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.135788598732361,0.4112903225806451,0.0460829493087557,0.4118347633281642,0.1104726691136519
AbDesign_5GGV_HLY__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,5GGV,HLY__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.020751855694788,0.3714285714285714,-0.1166666666666666,0.4840329584312115,0.0923592183318153
AbDesign_3SE8_GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3SE8,GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.0849858363386824,0.4615384615384615,-0.1153846153846153,0.4295937901045056,0.120412267471091
AbDesign_6MFP_GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,6MFP,GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.1116642958748221,0.3484848484848485,-0.1212121212121212,0.2946315518845034,0.0990528584392014
AbDesign_1VFB_ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1VFB,ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.0032161392007451,0.6004842615012107,0.3243801933078992,0.7130082373386087,0.4656084656084656
AbDesign_3HFM_HLY__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3HFM,HLY__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0196095458546636,0.619047619047619,0.5523809523809524,0.5691059915401113,0.3676190476190476
AbDesign_3N85_AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3N85,AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.3343480490240355,0.4375,-0.1666666666666666,0.631578947368421,0.2777777777777778
AbDesign_3NGB_GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3NGB,GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0869424971298232,0.2907801418439716,-0.1276595744680851,0.5013658724945014,0.0895212630506748
AbDesign_4I77_HLZ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,4I77,HLZ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.5853694070049635,0.7380952380952381,0.3947710169758613,1.0,0.7853741496598639
AbDesign_6NMU_HLS__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,6NMU,HLS__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.2225434362469076,0.3666666666666666,-0.119047619047619,0.4497073913438382,0.1116632206140643
AbDesign_6RP8_CHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,6RP8,CHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.2340189696282558,0.1666666666666666,-0.1153846153846153,0.2502541357461754,0.0808994708994709
AbDesign_6XKR_HLP__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,6XKR,HLP__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0299517248855741,0.6461538461538462,0.0974358974358974,0.7273907356214013,0.3700814536340852
AbDesign_7JMO_AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,7JMO,AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1661554732945531,0.58994708994709,-0.1296296296296296,0.3381174939317953,0.1469208034090829
AbDesign_1YY9_ACD__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1YY9,ACD__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.1980198732889004,0.7280701754385965,-0.1578947368421052,0.1178639652160819,0.3015873015873015
AbDesign_2YSS_ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,2YSS,ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.0467987879045741,0.8464052287581698,0.2549019607843137,0.4603521616909269,0.4160830999066293
AbDesign_1JRH_HIL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1JRH,HIL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.2920588989998602,0.7254901960784312,-0.140028008402801,0.3040814853230795,0.2896825396825396
AbDesign_2BDN_AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,2BDN,AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.2417582417582417,0.5,-0.1818181818181818,0.6153846153846154,0.225
AbDesign_3BDY_HLV__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3BDY,HLV__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.0053370997077004,0.7338709677419355,0.1532258064516129,0.2365338848319061,0.2375
AbDesign_3BE1_AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,3BE1,AHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.2916119718229007,0.3066666666666666,-0.1466471150213532,0.2011157062867552,0.1205330667999333
AbDesign_5F9W_GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,5F9W,GHL__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.2793687901811806,0.6918238993710691,0.0723270440251572,0.585979002623315,0.214910270607945
AbDesign_5GGS_ABZ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,5GGS,ABZ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.246910418190328,0.7898550724637681,0.4347826086956521,0.6599085971807901,0.4323232323232323
AbDesign_1BVK_ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1BVK,ABC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0898785425101214,0.5214285714285715,0.1642857142857142,0.570864628216125,0.1533762290341237
AbDesign_1MLC_ABE__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,1MLC,ABE__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1735683249213799,0.6083333333333333,-0.15,0.4422206212498923,0.2188552188552188
AbDesign_2NYY_ACD__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,2NYY,ACD__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0306189964678193,0.3703703703703703,-0.1980295085953348,0.6427936440802362,0.1699346405228758
AbDesign_6NMS_HLS__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,6NMS,HLS__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1287755102040816,0.7000000000000001,0.109090909090909,0.6657563687020485,0.2581951381951382
AbDesign_7KF0_HLV__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,AbDesign,7KF0,HLV__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1614509246088193,0.5151515151515151,-0.1212121212121212,0.5753904332725096,0.1519642122583299
4D5_HER2_fitness_1N8Z__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1N8Z,4D5_HER2_fitness_1N8Z__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.2599646254267529,0.7810753616042078,0.4230769230769231,0.8590599217936968,0.3688533970147685
CXCR4_CXCL12_enrich_8U4O__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,8U4O,CXCR4_CXCL12_enrich_8U4O__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0828055934978429,0.4289513848204008,-0.0181606547589636,0.572939999301919,0.0859225699323093
KRAS_SOS1_norfitness_8BE4__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,8BE4,KRAS_SOS1_norfitness_8BE4__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.3859988302014944,0.6392750240332487,0.1250393096041201,0.7795483580765543,0.1675937941799314
PSD95_CRIPT_1BE9__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1BE9,PSD95_CRIPT_1BE9__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.4641781396221434,0.5953760448167278,0.0222968572983291,0.6878141270400301,0.123760055232974
Z-domain_ZSPA-1_LL2_fitness_1LP1__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1LP1,Z-domain_ZSPA-1_LL2_fitness_1LP1__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.1806763047094817,0.472280281838588,-0.0794586699406355,0.2726746894021455,0.0873411440784528
GB1_IgG-Fc_fitness_1FCC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1FCC,GB1_IgG-Fc_fitness_1FCC__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,-0.1446727213785055,0.3870500291062952,-0.0619927325123578,0.4125606139087783,0.0756241011203717
KRAS_RAF1-RBD_norfitness_6VJJ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.4712088714647702,0.710087195365675,0.174667410246809,0.7836416765618273,0.2188621580314603
KRAS_RAF1_norfitness_6VJJ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,6VJJ,KRAS_RAF1_norfitness_6VJJ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.3936218832477247,0.6834631702294912,0.1631395796057846,0.7736126494003746,0.2185588230449076
SARS2-RBD_ACE2_deltaKd_6M0J__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,6M0J,SARS2-RBD_ACE2_deltaKd_6M0J__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0021476646083118,0.4963649728786118,-0.0595887434833521,0.4391696662827108,0.091289831028032
5A12_Ang2_fitness_4ZFG__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,4ZFG,5A12_Ang2_fitness_4ZFG__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1086470709458839,0.6132043890645341,0.0987787489926229,0.58844088844226,0.1422437947074545
BH3_Bcl-xL_normed_1PQ1__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1PQ1,BH3_Bcl-xL_normed_1PQ1__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.6108276543413613,0.7081132386926379,0.1663090128755364,0.7563234619364826,0.209673213734344
HLA-A2_TAPBPR_meanscore_5WER__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,5WER,HLA-A2_TAPBPR_meanscore_5WER__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.2766376078042684,0.5674791545760728,0.0810771665104189,0.676785351642179,0.13016622324455
Z-domain_ZpA963_HL1_fitness_2M5A__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,2M5A,Z-domain_ZpA963_HL1_fitness_2M5A__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.3829613171414515,0.8221540986581761,0.4042160332358824,0.854863900103108,0.4964852400160371
5A12_VEGF_fitness_4ZFF__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,4ZFF,5A12_VEGF_fitness_4ZFF__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.1587923638249774,0.5594863164670936,-0.0171898765753813,0.5012664527016261,0.109254300462041
Z-domain_ZpA963_HL2_fitness_2M5A__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,2M5A,Z-domain_ZpA963_HL2_fitness_2M5A__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.3557772956961517,0.6757253086419753,0.1111111111111111,0.6635373754219286,0.1731445414982588
KRAS_RALGDS-RBD_norfitness_1LFD__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1LFD,KRAS_RALGDS-RBD_norfitness_1LFD__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.4845971431950248,0.7373713751294872,0.200069874111172,0.7921648433178754,0.2400164181237921
PSD95_Tm2F_1BE9__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1BE9,PSD95_Tm2F_1BE9__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.290552753342517,0.4256964701474563,-0.0621091694097287,0.6227483551115414,0.0815090746006108
BH3_Mcl-1_normed_3KZ0__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,3KZ0,BH3_Mcl-1_normed_3KZ0__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.6680447241223796,0.9149678111587984,0.5510894684714427,0.9241645237755416,0.6060926363379995
KRAS_DARPinK27_norfitness_5O2S__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,5O2S,KRAS_DARPinK27_norfitness_5O2S__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.4302488359279083,0.648234497253894,0.1276804934332703,0.7813957469698783,0.1701887350056331
KRAS_PICK3CG-RBD_norfitness_1HE8__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1HE8,KRAS_PICK3CG-RBD_norfitness_1HE8__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.5402036380196938,0.671042156381803,0.0993909042643268,0.8019647316188018,0.1586888876766531
Z-domain_ZSPA-1_LL1_fitness_1LP1__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1LP1,Z-domain_ZSPA-1_LL1_fitness_1LP1__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0345122412452207,0.4519370107321889,-0.0805211895782862,0.5008399176753406,0.0826728282963072
hYAP65_peptide_FunctioncalScore_1JMQ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32__focus0,BindingGYM,1JMQ,hYAP65_peptide_FunctioncalScore_1JMQ__ElnaggarLab__ankh2-ext1__c2065b56__masked__fp32_,,ankh2-ext1,,0,masked,0.0998881708291461,0.5823911405880109,0.0300989185981536,0.603031227021147,0.1205978308744865
